question,context,options,consensus,implied_comment
What are your views on climate change?,"A host asking this question to a guest speaker during a webinar on sustainability, indicating openness and engagement.","A. I want to confirm whether your views align with our company's climate policies. 
B. I have resources or connections to help with climate initiatives. 
C. I want to know your opinions on climate change 
D. Views not aligning with our environmental policies are not acceptable here. 
E. I'm frustrated with your inconsistency or misinformation about climate change.",C,I have resources or connections to help with climate initiatives.
How did your interview go?,"A colleague asks another who just returned from an interview, with confidence in their abilities.","A. You shouldn't have gone to the interview looking like that. 
B. I know you did well in your interview. 
C. I know you did well. 
D. I want to know how your interview went 
E. I didn't expect you to succeed.",B,I know you did well.
Did you bring the documents with you?,"A colleague asks another before entering a team meeting, and it's understood they should have the documents ready for presentation.","A. Of course, you have the documents with you. 
B. You're incompetent and probably forgot the documents. 
C. I want to know if you have the documents 
D. You should hand them over now. 
E. I brought the documents to ensure we are prepared.",C,You should hand them over now.
Do you want me to make you a cup of tea?,A parent lovingly asks their child who is studying hard and seems overwhelmed.,"A. It's okay to rest and take care of yourself. 
B. Congratulations on your successful exam results! 
C. I think a cup of tea would help you relax. 
D. I am offering to make you a cup of tea 
E. I need you to be considerate and give me a break.",C,It's okay to rest and take care of yourself.
Can you change the baby's diaper?,"In a family gathering, someone smirks while asking their sibling who never helps with chores.","A. Please change the baby's diaper 
B. If you don't do it, I'll report your behavior to your parents. 
C. I'm not doing it right now; handle it yourself. 
D. You never help with the baby and need to do more. 
E. You're lazy and never do anything useful.",D,You're lazy and never do anything useful.
May I please borrow your pen?,"At a crowded dinner party, someone asks in a loud voice while eyeing their friend's infamous collection of unwanted promotional pens.","A. You should lend me a pen as you appear well-equipped. 
B. Your taste in pens is embarrassingly bad. 
C. Please give me your permission to use your pen 
D. You will let me use your pen. 
E. I expect you to give me your pen right now.",A,Your taste in pens is embarrassingly bad.
Can you help me revise for my test?,A student asks their study partner with a joyful tone immediately after the partner has aced their own test with flying colors.,"A. You're going to help me study. 
B. Congratulations on doing so well on your test! 
C. Helping you will also prepare me well for the test. 
D. Please assist me in preparing for my test 
E. Remember I have a test coming up soon.",D,Congratulations on doing so well on your test!
Can you believe it?,A friend reacts incredulously to a news report about a questionable political decision.,"A. They're such an idiot for making that mistake again. 
B. It's shocking and appalling what decisions are being made. 
C. This situation is dangerous. 
D. The situation is surprising or unbelievable 
E. I don't agree with that at all.",D,I don't agree with that at all.
How often do you exercise?,"A health-conscious friend asks at a casual gathering, seeing their friend hasn't been keeping up with resolutions.","A. You're in great shape; I bet you work out a lot. 
B. I want to know the frequency of your exercise routine 
C. I can suggest some workout tips. 
D. You're not exercising enough and it's affecting your health. 
E. You need to stop exercising so much.",D,I can suggest some workout tips.
Is your phone fully charged?,"A group of friends is planning a road trip, and one friend asks another while packing their bags, with a reassuring smile.","A. Ensure your phone is ready for our journey. 
B. I want to know if your phone has a full battery charge 
C. You're irresponsible and never prepared. 
D. We should be prepared, as there won't be any chance to charge our phones later. 
E. Don't worry, I'll make sure we're prepared for the trip.",A,"Don't worry, I'll make sure we're prepared for the trip."
What on earth were you thinking?,"A parent asks their child in an exasperated voice after finding a mess in the kitchen, while gesturing towards cleaning supplies.","A. Clean up this mess immediately. 
B. Let me help you clean up and teach you how to bake properly. 
C. I know you were up to your usual antics. 
D. You have created a mess and I'm very upset about it. 
E. Your actions seem unreasonable or surprising to me",D,Clean up this mess immediately.
How often do you exercise?,A doctor firmly questions a patient who has health issues related to inactivity.,"A. I want to know the frequency of your exercise routine 
B. You should increase your exercise routine. 
C. You're not exercising enough and it's affecting your health. 
D. You should start exercising to avoid future health issues. 
E. Regular exercise is important for your health.",C,You should increase your exercise routine.
Can you help me find my phone?,"A group leader with a stern expression questions a team member suspected of stealing, in a private room.","A. You are careless with other people's belongings. 
B. You probably took my phone without asking. 
C. It's obvious you should have offered assistance. 
D. Help find it or face punishment. 
E. Please assist me in locating my phone",B,Help find it or face punishment.
Did you call a taxi?,"In a noisy bar, someone asks their partner impatiently after realizing they are about to miss the last train home.","A. It's unsafe to leave the hotel. 
B. I want to know if you arranged for a taxi 
C. You need to call a taxi immediately. 
D. You called a taxi without telling anyone. 
E. We might miss our ride because you forgot to call the taxi.",C,We might miss our ride because you forgot to call the taxi.
What movie should we watch tonight?,"A group of friends are debating over movies for hours, and one friend finally asks the question in an exasperated tone to express their fatigue with the indecision.","A. Please suggest a movie for us to watch. 
B. I want a suggestion for a movie to watch tonight 
C. Let's just stop talking about it. 
D. You better choose the movie I want, or there will be consequences. 
E. I'm frustrated that you can't decide on a movie.",E,Let's just stop talking about it.
What movie should we watch tonight?,A roommate asks with an excited voice in a group chat where they typically plan their weekly movie nights.,"A. You're not allowed to watch a movie tonight. 
B. Choose something short so we aren't up all night. 
C. We should watch the new release I told you all about. 
D. I want a suggestion for a movie to watch tonight 
E. Your movie choices are always terrible.",D,We should watch the new release I told you all about.
Who taught you to ride a bike?,A friend notices another friend using an outdated technique to ride a bike and asks with genuine curiosity.,"A. Let me show you a better way to ride. 
B. You are a terrible bike rider. 
C. I want to know who taught you bike riding 
D. Your biking is unacceptable and must stop. 
E. You're picking up biking skills impressively.",C,Let me show you a better way to ride.
Can you guide me how to prepare this dish?,A food critic asks a famous chef in an amused tone during a televised cooking show.,"A. Finish preparing this dish now. 
B. Please show me how to prepare this dish 
C. I'm asserting that I understand cooking better than you think. 
D. I'm here to show you how to make this dish. 
E. I doubt you actually know how to prepare this dish.",B,I'm asserting that I understand cooking better than you think.
What flavor ice cream do you want?,A server asks a customer who has taken a very long time to decide and seems unsure of their choice with a raised eyebrow.,"A. Please decide quickly what flavor you want. 
B. I'm not convinced you know what you want. 
C. You will have to choose vanilla because it's the only option. 
D. You'll choose vanilla like always. 
E. I am offering you the choice of selecting an ice cream flavor",A,I'm not convinced you know what you want.
Do you want to take a break?,A trainer notices a participant struggling during an intense workout session and asks with concern.,"A. I think you should consider taking a break. 
B. Let's take a break if you need one 
C. You need to take a break now. 
D. You haven't exerted yourself enough to need a break. 
E. It's important you take a break to recharge.",B,I think you should consider taking a break.
Did you bring the mail in?,"A parent questions their child sternly, knowing the child often forgets, as they enter the house together.","A. You forgot to do a simple task again. 
B. Don't bring the mail in without an adult's help. 
C. I need you to confirm the task was done. 
D. You forgot about the mail again, didn't you? 
E. I want to know if you brought the mail inside",D,I need you to confirm the task was done.
What's the best restaurant you've tried recently?,"During a team meeting over lunch, the boss asks an employee who had previously mentioned a great dining experience.","A. I want to order food from there for everyone. 
B. Congrats on starting your food adventure. 
C. I want you to enjoy the meal I prepared today. 
D. I'm confirming if our opinions align on recent restaurants. 
E. I am interested in your recent dining experiences and recommendations",E,I want to order food from there for everyone.
Why did you choose this line of work?,"A mentor discusses with a mentee who has just expressed doubts about their career choice, in an understanding tone.","A. I don't approve of this career choice. 
B. This career path is risky and might not be secure. 
C. Your job seems absurd and not respectable. 
D. I want to know your reasons for choosing this profession 
E. I had a similar reason when I started.",D,I had a similar reason when I started.
Why did you choose this line of work?,"In a meeting, a colleague comments during a presentation on a failed project.","A. You should reconsider and change your career path. 
B. Your project didn't go well, so your career choice seems questionable. 
C. Your career choice is questionable and reflects poor judgment. 
D. I want to know your reasons for choosing this profession 
E. Maybe you should consider a different career path.",E,"Your project didn't go well, so your career choice seems questionable."
Is this your handwriting?,"During a team meeting, a project manager asks an employee with a reassuring tone while reviewing excellent notes.","A. I want to know if you wrote this 
B. I'm impressed by your work. 
C. Rewrite this with clearer handwriting. 
D. I doubt this neatly written work is yours. 
E. If this is your handwriting, I'll ensure you get recognition.",B,"If this is your handwriting, I'll ensure you get recognition."
Do I look like I was born yesterday?,"An experienced employee, who has heard a rookie explanation too many times, asks this question to their boss.","A. Provide a more reasonable excuse. 
B. I am certain you are lying. 
C. I doubt the credibility of what you're saying. 
D. I am not naive, don't try to deceive me. 
E. I want to express that I am not naive or easily fooled",D,I doubt the credibility of what you're saying.
"Does she look amazing today, or what?","During an awards ceremony, a friend asks another while pointing to the recipient of a prestigious award, who is beaming on stage in an elegant gown.","A. Her outfit is inappropriate for the workplace. 
B. She deserves congratulations for her achievement. 
C. She looks amazing today. 
D. You should compliment her or take a picture. 
E. She looks amazing today",C,She deserves congratulations for her achievement.
Is the pope Catholic?,"During a light-hearted debate, one friend answers another friend’s question about a widely acknowledged fact.","A. You should just accept the truth. 
B. Yes, it's definitely correct. 
C. The answer is obviously yes 
D. Absolutely not. 
E. I seriously doubt the validity of your claim.",C,"Yes, it's definitely correct."
Can we order pizza tonight?,A tired office worker asks their colleague as they look at the empty fridge in the break room during lunch.,"A. I'm frustrated there's nothing to eat here. 
B. I would like to eat pizza for dinner tonight 
C. We're not ordering pizza tonight. 
D. I don't want to have pizza tonight. 
E. I'd like us to have pizza for dinner together.",E,I'm frustrated there's nothing to eat here.
Can we stop by the supermarket on the way home?,"A coach asks their team after practice, implying they can have a treat for their hard work.","A. Please agree to stop at the supermarket on the way home 
B. Let's buy something to celebrate your achievement. 
C. We've earned a reward for our effort today. 
D. Let's celebrate your promotion with something nice from the supermarket! 
E. You deserve a treat from the supermarket for your victory.",B,We've earned a reward for our effort today.
Can you explain this concept to me?,"During a heated debate, one participant, with a skeptical expression and sarcastic tone, asks another who just presented a controversial theory.","A. You should take the lead on explaining this aspect. 
B. I don't agree with your explanation. 
C. Explain this concept to me as I demand it. 
D. Please explain this concept to me 
E. I suspect you don't get it either.",E,I don't agree with your explanation.
Can you recommend a good restaurant around here?,A boss asks their personal assistant this question while holding out a notepad and pen.,"A. I have a restaurant in mind that I want us to try. 
B. Please suggest a good restaurant nearby 
C. Find me a place to eat now. 
D. Be careful, the restaurants around here aren't very good. 
E. Your taste in restaurants is poor.",B,Find me a place to eat now.
Can I have some of your fries?,"In a sarcastic tone, a friend at a party asks another friend known for never sharing food.","A. Please share some of your fries with me 
B. We shouldn't have to share our fries. 
C. Maybe you should share your fries with me. 
D. You should not take any of my fries. 
E. You're greedy.",C,You're greedy.
Can you help me set up this tent?,"A teacher conducting a wilderness survival class addresses a student who lacks interest, with an eyebrow raised.","A. Please assist me in setting up this tent 
B. I'm not sure you're capable of helping with this. 
C. If you don't help, I'll make your life difficult. 
D. You're not being helpful at all. 
E. You're not supposed to help; focus on your current task.",D,I'm not sure you're capable of helping with this.
Can you believe we've been friends for ten years?,"During an argument, one friend brings this up sarcastically to downplay their past connection.","A. It's surprising we tolerated each other for so long. 
B. It's amazing that we've been friends for ten years 
C. Let's plan something to celebrate our friendship anniversary. 
D. Our friendship is a significant part of our lives. 
E. Our friendship isn't significant.",A,Our friendship isn't significant.
Do you want me to help you tidy up the kitchen?,"A friend asks another friend after they have already seen them starting the cleaning process, with a smile of reassurance.","A. Great job cleaning the kitchen! 
B. You need to help clean the kitchen immediately. 
C. I believe in your ability to finish this. 
D. I am willing to help you tidy up the kitchen 
E. Clean it up now, or else you'll get in trouble.",D,I believe in your ability to finish this.
Do you want me to help you tidy up the kitchen?,A chef asks their apprentice in a condescending manner after the apprentice made a mess while preparing a meal.,"A. You made such a mess and can't clean up properly. 
B. I am willing to help you tidy up the kitchen 
C. I promise to help you with the kitchen. 
D. I won't help because you should clean your own mess. 
E. You should handle your own responsibilities.",A,I won't help because you should clean your own mess.
What time is your appointment with the dentist?,A friend asks after the other claims there's no time to meet for lunch.,"A. I would like to know the time of your dentist appointment 
B. Your appointment does not interfere with our lunch plans. 
C. You are neglecting important appointments. 
D. You cannot schedule anything else before our meeting. 
E. Let's schedule our plans around your appointment time.",E,Your appointment does not interfere with our lunch plans.
Did you check whether our favorite show is airing tonight?,"A couple is in their living room, one with a TV remote in hand, both aware that one of them usually checks the TV schedule.","A. We missed it because you forgot to check. 
B. It's important to me that we watch this show together. 
C. I would like to know if you confirmed that our favorite show is airing tonight 
D. Can you please check if our show is on tonight? 
E. We'll spend the night together watching the show.",C,It's important to me that we watch this show together.
Are you surprised?,"A parent cheers on their child after they win a competition, with enthusiasm in their voice.","A. We've made a generous donation for your cause. 
B. We did this all for you, congratulations! 
C. Your hard work has paid off! 
D. I want to know if this situation is surprising to you 
E. You won, congratulations!",E,Your hard work has paid off!
Can I carry your bag?,A teenager smirks while sarcastically offering to help a younger sibling who complained about having too many bags.,"A. I am offering to carry your bag 
B. Your bag will be handled with utmost care by the hotel staff. 
C. You are not allowed to carry the bag inside. 
D. You're weak. 
E. You are stronger than you think and can do it yourself.",E,You're weak.
Can you fix my laptop?,"A friend asks another, who is known for their technical expertise, while handing them the laptop and winking.","A. I apologize for messing up the laptop. 
B. Trust me, I promise you'll manage to fix it. 
C. You are not allowed to fix my laptop during work hours. 
D. I doubt you know how to fix my laptop. 
E. Please help me by fixing my laptop",E,"Trust me, I promise you'll manage to fix it."
Are you surprised?,"A magician finishes a mind-blowing trick, and confidently asks the audience with a smile.","A. This trick is meant to amaze you. 
B. I want to know if this situation is surprising to you 
C. I was sure this innovation would impress everyone. 
D. We're giving you a bonus. 
E. I knew this trick would amaze you.",E,This trick is meant to amaze you.
Did you see where I left my glasses?,A parent addressing a child in a gentle tone while searching for their misplaced glasses around the house.,"A. I promise I'll make sure not to misplace them again. 
B. I need help finding my glasses 
C. You need to look for my glasses. 
D. I know one of you took or hid them. 
E. I'm sorry for being disorganized right now.",B,I promise I'll make sure not to misplace them again.
Can you show me how to use this feature on my phone?,"During a conversation at a tech support center, a customer asks the technician in a curious manner after struggling with their phone for hours.","A. Do not use this feature on your phone. 
B. I need confirmation that I understand this feature correctly. 
C. You might need to learn more about your phone features. 
D. Please demonstrate how to use this feature on my phone 
E. This phone is not as intuitive as advertised.",D,I need confirmation that I understand this feature correctly.
Could it get any hotter today?,A participant at an outdoor event asks the organizer while fanning themselves vigorously.,"A. Please provide a shaded area or more cooling options. 
B. Want to move to the shade? 
C. I'm skeptical that temperatures could rise further. 
D. It's very hot in here, and I disagree with your statement. 
E. It feels extremely hot today",E,Please provide a shaded area or more cooling options.
Can you check the tire pressure?,A driving instructor tells a learner who is about to start a driving lesson.,"A. It's your task to check the tire pressure. 
B. I'm sorry for not preparing the car as promised. 
C. Please check the tire pressure 
D. We should check the tire pressure before we leave. 
E. This is essential for vehicle safety, do it now.",D,"This is essential for vehicle safety, do it now."
Was there any important mail today?,A person returns home after traveling and asks their partner while scanning a stack of mail.,"A. I can help manage or deliver your important mail. 
B. I apologize for not keeping up with the mail sorting. 
C. I want to know if any important mail arrived today 
D. You shouldn't leave without checking the mail. 
E. I assume there might be an important letter, let me confirm.",C,"I assume there might be an important letter, let me confirm."
Was there any important mail today?,"A person living abroad calls their roommate back home and asks this in a hopeful tone, expecting important documents might have arrived.","A. There's probably no important mail, as usual. 
B. Please check the mail for me. 
C. There clearly wasn't any important mail today. 
D. I can help manage or deliver your important mail. 
E. I want to know if any important mail arrived today",E,Please check the mail for me.
Isn't it a small world?,"After an awkward encounter, where a person accidentally bumps into a friend from a different city at an unfamiliar event, they nervously laugh and ask the question.","A. The world is surprisingly interconnected 
B. It's surprisingly coincidental we met here. 
C. Our social networks overlap more than we thought. 
D. It's astonishing that we have this in common. 
E. I'm sorry for bumping into you, what a coincidence!",B,"I'm sorry for bumping into you, what a coincidence!"
Have you talked to the counselor?,A teacher with an impatient tone asks a student complaining about grades during class.,"A. I would like to know if you have talked to the counselor 
B. This isn't the right venue for this discussion. 
C. You need to start dealing with your issues rather than ignoring them. 
D. Congratulations on your college acceptance! 
E. You are not allowed to talk to the counselor before the exam.",C,This isn't the right venue for this discussion.
Could it get any hotter today?,"A person exclaims while drenched in sweat, standing outside on a record-breaking hot day.","A. Yes, it will definitely get hotter. 
B. I doubt it could get any hotter. 
C. It feels extremely hot today 
D. You need to finish your outdoor chores despite the heat. 
E. It's clearly very hot, contrary to what you said.",C,I doubt it could get any hotter.
